2017-09-29 11:20:40 INFO run.py:215 GNS3 server version 2.0.3
2017-09-29 11:20:40 INFO run.py:217 Copyright (c) 2007-2017 GNS3 Technologies Inc.
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/gns3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 WARNING run.py:226 Local mode is enabled. Beware, clients will have full control on your filesystem
2017-09-29 11:20:40 INFO run.py:229 uBridge will be used to handle node connections
2017-09-29 11:20:40 INFO run.py:239 Running with Python 3.5.2 and has PID 98158
2017-09-29 11:20:40 INFO web_server.py:265 Starting server on 127.0.0.1:3080
2017-09-29 11:20:40 INFO __init__.py:53 Load controller configuration file /Users/admin/.config/GNS3/gns3_controller.conf
2017-09-29 11:20:40 INFO __init__.py:57 Start controller
2017-09-29 11:20:40 INFO compute.py:79 Create compute local
2017-09-29 11:20:40 INFO base_events.py:979 <Server sockets=[<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('127.0.0.1', 3080)>]> is serving
2017-09-29 11:21:46 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:21:46 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:21:52 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:21:52 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:21:58 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:21:58 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:04 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:04 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:10 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:10 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:16 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:16 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:22 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:22 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:28 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:28 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:34 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:34 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:40 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:40 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:46 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:46 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:52 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:52 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:22:58 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:22:58 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:04 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:04 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:10 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:10 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:16 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:16 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:22 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:22 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:28 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:28 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:34 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:34 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:40 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:40 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:46 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:46 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
